layer,mean,std,n
model.layers.19.self_attn.k_proj,-0.03719380629829377,0.032208571138482064,2359296
model.layers.19.self_attn.o_proj,-0.03385548422112253,0.02731621074189997,4718592
model.layers.19.self_attn.q_proj,-0.03804158824004844,0.0329486147625125,4718592
model.layers.19.self_attn.v_proj,-0.03848300002330992,0.03097891726868459,2359296
model.layers.2.mlp.down_proj,-0.02419515177727006,0.0198857275656237,21233664
model.layers.2.mlp.gate_proj,-0.02546231728244751,0.01970711384879085,21233664
model.layers.2.mlp.up_proj,-0.02447070981981125,0.0187787625063664,21233664
model.layers.2.self_attn.k_proj,-0.0391244343950853,0.03223004553413108,2359296
model.layers.2.self_attn.o_proj,-0.03347907633198904,0.028072157938234137,4718592
model.layers.2.self_attn.q_proj,-0.03867968527447374,0.03115036356255268,4718592
model.layers.2.self_attn.v_proj,-0.03530207890758498,0.027356879160860915,2359296
model.layers.20.mlp.down_proj,-0.024195860536879697,0.018961849700711055,21233664
model.layers.20.mlp.gate_proj,-0.024496665027128738,0.020021958970064004,21233664
model.layers.20.mlp.up_proj,-0.02416414317108488,0.01859058921530393,21233664
model.layers.20.self_attn.k_proj,-0.03831768833899534,0.031741058901820204,2359296
model.layers.20.self_attn.o_proj,-0.03410869922218909,0.0281230874661754,4718592
model.layers.20.self_attn.q_proj,-0.037812625051628856,0.03210930518477776,4718592
model.layers.20.self_attn.v_proj,-0.038527146292229496,0.031055050277537122,2359296
model.layers.21.mlp.down_proj,-0.02423729881173378,0.019049238148079607,21233664
model.layers.21.mlp.gate_proj,-0.024435041380849815,0.01971717633972795,21233664
model.layers.21.mlp.up_proj,-0.02425779476151895,0.018654730573387495,21233664
model.layers.21.self_attn.k_proj,-0.037612689479930045,0.031464055270433514,2359296
model.layers.21.self_attn.o_proj,-0.03380248632573865,0.027529738686141277,4718592
model.layers.21.self_attn.q_proj,-0.03646306279198244,0.030700087223828092,4718592
model.layers.21.self_attn.v_proj,-0.03578191644677039,0.027314054364115048,2359296
model.layers.22.mlp.down_proj,-0.024148694523184397,0.018895102321444757,21233664
model.layers.22.mlp.gate_proj,-0.024487409639721274,0.019798002031652523,21233664
model.layers.22.mlp.up_proj,-0.024246094148784997,0.01860090524293037,21233664
model.layers.22.self_attn.k_proj,-0.03404514666625699,0.0329151921673347,2359296
model.layers.22.self_attn.o_proj,-0.03432516427225588,0.027868523280038665,4718592
model.layers.22.self_attn.q_proj,-0.03705114122274406,0.032836727931054126,4718592
model.layers.22.self_attn.v_proj,-0.0390510880073028,0.03165518865287952,2359296
model.layers.23.mlp.down_proj,-0.024284217930718662,0.019177805752458796,21233664
model.layers.23.mlp.gate_proj,-0.02443385907571172,0.019759682929308898,21233664
model.layers.23.mlp.up_proj,-0.02430858478490134,0.018637893709334493,21233664
model.layers.23.self_attn.k_proj,-0.0347160778886367,0.032011739174504714,2359296
model.layers.23.self_attn.o_proj,-0.03497466339508214,0.028432588578817537,4718592
model.layers.23.self_attn.q_proj,-0.03542481012947166,0.030748941800752008,4718592
model.layers.23.self_attn.v_proj,-0.039321172581468194,0.030814635012478876,2359296
model.layers.24.mlp.down_proj,-0.024484863250513123,0.019679460707947755,21233664
model.layers.24.mlp.gate_proj,-0.024063181722463745,0.0194786273311882,21233664
model.layers.24.mlp.up_proj,-0.024318400776264525,0.018712920578371046,21233664
model.layers.24.self_attn.k_proj,-0.0378853097237071,0.03201884337402899,2359296
model.layers.24.self_attn.o_proj,-0.03415012440604591,0.028460651297536676,4718592
model.layers.24.self_attn.q_proj,-0.03636128571957266,0.03217643242108979,4718592
model.layers.24.self_attn.v_proj,-0.037518708660273764,0.02920376353465919,2359296
model.layers.25.mlp.down_proj,-0.023368811989824694,0.018736433188565643,21233664
model.layers.25.mlp.gate_proj,-0.02299570532929386,0.01860889693853384,21233664
model.layers.25.mlp.up_proj,-0.02407015450060297,0.018606355941765854,21233664
model.layers.25.self_attn.k_proj,-0.037799811531335256,0.031205962682326904,2359296
model.layers.25.self_attn.o_proj,-0.031562956394029444,0.026176232517888153,4718592
model.layers.25.self_attn.q_proj,-0.03687699357720299,0.03105404747286238,4718592
model.layers.25.self_attn.v_proj,-0.034294399583207756,0.026804017968494777,2359296
model.layers.3.mlp.down_proj,-0.024264977438302415,0.020466937148981956,21233664
model.layers.3.mlp.gate_proj,-0.025468780212610943,0.019613543291659954,21233664
model.layers.3.mlp.up_proj,-0.024307298738822734,0.018680870481241982,21233664
model.layers.3.self_attn.k_proj,-0.03868162063372438,0.03125965861574294,2359296
model.layers.3.self_attn.o_proj,-0.033956772633246146,0.028800118007588027,4718592
model.layers.3.self_attn.q_proj,-0.0385644438540314,0.031341340747723385,4718592
model.layers.3.self_attn.v_proj,-0.03566213143252147,0.027331133961777988,2359296
model.layers.4.mlp.down_proj,-0.024934663637620282,0.020423471658179933,21233664
model.layers.4.mlp.gate_proj,-0.02482496657956537,0.019660865908238023,21233664
model.layers.4.mlp.up_proj,-0.024319877722137104,0.01884238532222969,21233664
model.layers.4.self_attn.k_proj,-0.03698915678372335,0.03031567839329341,2359296
model.layers.4.self_attn.o_proj,-0.03336541953831329,0.02672397599683443,4718592
model.layers.4.self_attn.q_proj,-0.03763245586823258,0.03253501582728116,4718592
model.layers.4.self_attn.v_proj,-0.035961570721054964,0.027440394826344923,2359296
model.layers.5.mlp.down_proj,-0.025141531139659626,0.020713754135403138,21233664
model.layers.5.mlp.gate_proj,-0.025006385601079307,0.020227675923003164,21233664
model.layers.5.mlp.up_proj,-0.024677161950230696,0.01926351988604036,21233664
model.layers.5.self_attn.k_proj,-0.03963020233135871,0.03546342422867434,2359296
model.layers.5.self_attn.o_proj,-0.03540110788283831,0.029143454749988494,4718592
model.layers.5.self_attn.q_proj,-0.038564739182119306,0.03617193027820374,4718592
model.layers.5.self_attn.v_proj,-0.038302618031997956,0.0296247505255383,2359296
model.layers.6.mlp.down_proj,-0.025502302520899432,0.0212444957506935,21233664
model.layers.6.mlp.gate_proj,-0.024078430223277263,0.019045860931498244,21233664
model.layers.6.mlp.up_proj,-0.024074957142057644,0.018856843309894164,21233664
model.layers.6.self_attn.k_proj,-0.032936342862538166,0.03072199597597102,2359296
model.layers.6.self_attn.o_proj,-0.032789257100375835,0.02724558146870788,4718592
model.layers.6.self_attn.q_proj,-0.03502559912047016,0.034269305979990436,4718592
model.layers.6.self_attn.v_proj,-0.03653517198189446,0.02849428597359276,2359296
model.layers.7.mlp.down_proj,-0.025486318405680244,0.020657285950224376,21233664
model.layers.7.mlp.gate_proj,-0.024780477588631774,0.020208792998699755,21233664
model.layers.7.mlp.up_proj,-0.02501980775416064,0.019634798161906747,21233664
model.layers.7.self_attn.k_proj,-0.03806486849053828,0.03606457677549255,2359296
model.layers.7.self_attn.o_proj,-0.03543164039850429,0.029623577527492815,4718592
model.layers.7.self_attn.q_proj,-0.038599521491455055,0.04564953407680599,4718592
model.layers.7.self_attn.v_proj,-0.03808362092483245,0.029087042650598378,2359296
model.layers.8.mlp.down_proj,-0.02523776526652876,0.020252069361716307,21233664
model.layers.8.mlp.gate_proj,-0.02507747441025761,0.020231372609314853,21233664
model.layers.8.mlp.up_proj,-0.024906217553776783,0.01942978276838913,21233664
model.layers.8.self_attn.k_proj,-0.03849898482197508,0.03796687325684291,2359296
model.layers.8.self_attn.o_proj,-0.034665191642691044,0.029168445995399465,4718592
model.layers.8.self_attn.q_proj,-0.03722203958184562,0.03394717315439217,4718592
model.layers.8.self_attn.v_proj,-0.03820886708530856,0.029743649817879168,2359296
model.layers.9.mlp.down_proj,-0.024777640489547694,0.01991545252048985,21233664
model.layers.9.mlp.gate_proj,-0.024982357555029325,0.020248320899449366,21233664
model.layers.9.mlp.up_proj,-0.024684706587625744,0.019205920612506366,21233664
model.layers.9.self_attn.k_proj,-0.03842282566903224,0.03350203183419092,2359296
model.layers.9.self_attn.o_proj,-0.0351105847922655,0.030114930504285264,4718592
model.layers.9.self_attn.q_proj,-0.03757139746832965,0.0317780344630341,4718592
model.layers.9.self_attn.v_proj,-0.037136890623110555,0.02837063004332928,2359296
