layer,mean,std,n
model.layers.19.self_attn.k_proj,-0.09235388562228763,0.07925409783440858,4194304
model.layers.19.self_attn.o_proj,-0.08538237845914409,0.06525155061292362,4194304
model.layers.19.self_attn.q_proj,-0.09548598929904983,0.08474520090074461,4194304
model.layers.19.self_attn.v_proj,-0.08727799719326867,0.06673478881148188,4194304
model.layers.2.mlp.down_proj,-0.08041106962289547,0.062006236088441136,11272192
model.layers.2.mlp.gate_proj,-0.08552656651963209,0.06622079571837762,11272192
model.layers.2.mlp.up_proj,-0.080453278898562,0.061477110136037356,11272192
model.layers.2.self_attn.k_proj,-0.10982050064308169,0.0963858580613458,4194304
model.layers.2.self_attn.o_proj,-0.0642265086335101,0.05036404130919413,4194304
model.layers.2.self_attn.q_proj,-0.11082171390853546,0.09735109520095006,4194304
model.layers.2.self_attn.v_proj,-0.0648236912320499,0.05006074448726962,4194304
model.layers.20.mlp.down_proj,-0.08351544180829457,0.06422375867932083,11272192
model.layers.20.mlp.gate_proj,-0.08811385306051857,0.0681913871422111,11272192
model.layers.20.mlp.up_proj,-0.08459695824963409,0.06439853911657388,11272192
model.layers.20.self_attn.k_proj,-0.09277998393599773,0.08094874456408187,4194304
model.layers.20.self_attn.o_proj,-0.0871219004948216,0.06700117618251807,4194304
model.layers.20.self_attn.q_proj,-0.0955645468120565,0.08667297245850328,4194304
model.layers.20.self_attn.v_proj,-0.0889675929220175,0.06891631511475885,4194304
model.layers.21.mlp.down_proj,-0.08371818720699467,0.06467838546978551,11272192
model.layers.21.mlp.gate_proj,-0.08873445180422074,0.06885077634068697,11272192
model.layers.21.mlp.up_proj,-0.08474735699852572,0.06465936416915663,11272192
model.layers.21.self_attn.k_proj,-0.08480155071129047,0.07534784768717948,4194304
model.layers.21.self_attn.o_proj,-0.09544233528868062,0.07321414924117844,4194304
model.layers.21.self_attn.q_proj,-0.08808774184990398,0.08194761147105517,4194304
model.layers.21.self_attn.v_proj,-0.09948216499651608,0.07694005312288234,4194304
model.layers.22.mlp.down_proj,-0.0855994497268152,0.06967353865951732,11272192
model.layers.22.mlp.gate_proj,-0.09080200522480164,0.07115408235243818,11272192
model.layers.22.mlp.up_proj,-0.08650123909505647,0.06707163832315585,11272192
model.layers.22.self_attn.k_proj,-0.0881374854529895,0.07783704193845038,4194304
model.layers.22.self_attn.o_proj,-0.09334033587037993,0.0720954752120329,4194304
model.layers.22.self_attn.q_proj,-0.09207180762996359,0.08571725596530823,4194304
model.layers.22.self_attn.v_proj,-0.09474011793599857,0.07335522783857208,4194304
model.layers.23.mlp.down_proj,-0.0847566850509814,0.06966390269325143,11272192
model.layers.23.mlp.gate_proj,-0.0958746783907436,0.07504584274859324,11272192
model.layers.23.mlp.up_proj,-0.08858288085490172,0.06971782744745865,11272192
model.layers.23.self_attn.k_proj,-0.09410176940673409,0.08002777121669422,4194304
model.layers.23.self_attn.o_proj,-0.09169394968466804,0.0769082030638999,4194304
model.layers.23.self_attn.q_proj,-0.09614284696499453,0.08473113393511787,4194304
model.layers.23.self_attn.v_proj,-0.09320345474407077,0.07734845371040927,4194304
model.layers.3.mlp.down_proj,-0.07930429872236387,0.061406144301246954,11272192
model.layers.3.mlp.gate_proj,-0.08573374746138565,0.06682761775998532,11272192
model.layers.3.mlp.up_proj,-0.07907308277174517,0.060487847134980656,11272192
model.layers.3.self_attn.k_proj,-0.10389672432529551,0.09190080476130365,4194304
model.layers.3.self_attn.o_proj,-0.06460985891862947,0.05044859353823362,4194304
model.layers.3.self_attn.q_proj,-0.10618909185632219,0.09517394119953647,4194304
model.layers.3.self_attn.v_proj,-0.06480387629289908,0.05048604349034543,4194304
model.layers.4.mlp.down_proj,-0.08024066691571131,0.06182880790187257,11272192
model.layers.4.mlp.gate_proj,-0.08544251569350478,0.06725811763349347,11272192
model.layers.4.mlp.up_proj,-0.07982980953475331,0.0612439798220335,11272192
model.layers.4.self_attn.k_proj,-0.10687356165090023,0.09278791389771429,4194304
model.layers.4.self_attn.o_proj,-0.06519239763974838,0.05029456840992151,4194304
model.layers.4.self_attn.q_proj,-0.11165175120322601,0.09822453099635464,4194304
model.layers.4.self_attn.v_proj,-0.06603429171991593,0.05134968728845273,4194304
model.layers.5.mlp.down_proj,-0.07923756247091238,0.061139954905414275,11272192
model.layers.5.mlp.gate_proj,-0.08569782631042641,0.06750073463935795,11272192
model.layers.5.mlp.up_proj,-0.07887029809488774,0.06044751715114997,11272192
model.layers.5.self_attn.k_proj,-0.0990230322113348,0.08977055314184204,4194304
model.layers.5.self_attn.o_proj,-0.06392931326899998,0.049447766295974326,4194304
model.layers.5.self_attn.q_proj,-0.10180592101141883,0.0940985175001797,4194304
model.layers.5.self_attn.v_proj,-0.0639050748709451,0.05026609732973138,4194304
model.layers.6.mlp.down_proj,-0.08007071479842971,0.0616152116352103,11272192
model.layers.6.mlp.gate_proj,-0.08427529184599163,0.06634176760667196,11272192
model.layers.6.mlp.up_proj,-0.07955221762084727,0.060937315246712295,11272192
model.layers.6.self_attn.k_proj,-0.10054630452441415,0.0890083528255121,4194304
model.layers.6.self_attn.o_proj,-0.06333753745047943,0.048797552887674844,4194304
model.layers.6.self_attn.q_proj,-0.10316202300100485,0.09341372958494118,4194304
model.layers.6.self_attn.v_proj,-0.06479763661127436,0.05003701378128721,4194304
model.layers.7.mlp.down_proj,-0.08060376596302715,0.06234488063148492,11272192
model.layers.7.mlp.gate_proj,-0.0848060291836466,0.06724621615377474,11272192
model.layers.7.mlp.up_proj,-0.08038825544137454,0.06177475698336837,11272192
model.layers.7.self_attn.k_proj,-0.10507492628175896,0.08985639836709909,4194304
model.layers.7.self_attn.o_proj,-0.0684788302578454,0.05305372302862696,4194304
model.layers.7.self_attn.q_proj,-0.10657572443005847,0.09132168539876372,4194304
model.layers.7.self_attn.v_proj,-0.07031107590501051,0.05419967960609261,4194304
model.layers.8.mlp.down_proj,-0.08133886238630471,0.06738873067672904,11272192
model.layers.8.mlp.gate_proj,-0.08372001913948077,0.06670599766667157,11272192
model.layers.8.mlp.up_proj,-0.081186810333409,0.06263141614300813,11272192
model.layers.8.self_attn.k_proj,-0.0989623121108707,0.0873628637602887,4194304
model.layers.8.self_attn.o_proj,-0.06674985272047707,0.05163072554138112,4194304
model.layers.8.self_attn.q_proj,-0.10312257865280117,0.09291444222791599,4194304
model.layers.8.self_attn.v_proj,-0.06820040688489826,0.052773953040310066,4194304
model.layers.9.mlp.down_proj,-0.08120029922513844,0.06297913187351938,11272192
model.layers.9.mlp.gate_proj,-0.08388442438918838,0.06606655101639562,11272192
model.layers.9.mlp.up_proj,-0.0813003553217683,0.06234437141095551,11272192
model.layers.9.self_attn.k_proj,-0.09825759295245007,0.08597424792310038,4194304
model.layers.9.self_attn.o_proj,-0.07035271877339255,0.05426526384918143,4194304
model.layers.9.self_attn.q_proj,-0.10221653036614953,0.0910306653025295,4194304
model.layers.9.self_attn.v_proj,-0.07128147440107568,0.05491999564356543,4194304
