layer,mean,std,n
model.layers.19.self_attn.k_proj,-0.09582719922400429,0.08146784045904726,3145728
model.layers.19.self_attn.o_proj,-0.048705924151161324,0.038616536444370624,9437184
model.layers.19.self_attn.q_proj,-0.07277375722050136,0.06062212804823746,9437184
model.layers.19.self_attn.v_proj,-0.04900085428259141,0.03932921374195676,3145728
model.layers.2.mlp.down_proj,-0.05670148988974688,0.045165360877298805,25165824
model.layers.2.mlp.gate_proj,-0.060414732850858854,0.0471694341019014,25165824
model.layers.2.mlp.up_proj,-0.05595841237012185,0.04333397663280542,25165824
model.layers.2.self_attn.k_proj,-0.10951083208146883,0.10303975257802628,3145728
model.layers.2.self_attn.o_proj,-0.04010060759093095,0.03321339019921621,9437184
model.layers.2.self_attn.q_proj,-0.08277972374829308,0.0745000006079449,9437184
model.layers.2.self_attn.v_proj,-0.03717939143371041,0.029497999315473526,3145728
model.layers.20.mlp.down_proj,-0.05711088202087922,0.04421713294771383,25165824
model.layers.20.mlp.gate_proj,-0.0630381444844564,0.05109726823576753,25165824
model.layers.20.mlp.up_proj,-0.057590178351802024,0.04397594803669606,25165824
model.layers.20.self_attn.k_proj,-0.09924293228141323,0.08511527049661975,3145728
model.layers.20.self_attn.o_proj,-0.05106932440483231,0.03955626809320127,9437184
model.layers.20.self_attn.q_proj,-0.07379604504674515,0.0604645786829077,9437184
model.layers.20.self_attn.v_proj,-0.05351541639053418,0.04155320100226395,3145728
model.layers.21.mlp.down_proj,-0.0571768736250912,0.044115966669641876,25165824
model.layers.21.mlp.gate_proj,-0.06333338074568928,0.05169440103526808,25165824
model.layers.21.mlp.up_proj,-0.057684497460437946,0.04414909843708047,25165824
model.layers.21.self_attn.k_proj,-0.09607341766119741,0.08513324047807834,3145728
model.layers.21.self_attn.o_proj,-0.0537711435738149,0.04170666300821867,9437184
model.layers.21.self_attn.q_proj,-0.07159666736010371,0.059963814768020575,9437184
model.layers.21.self_attn.v_proj,-0.05968395574260891,0.047424790535757606,3145728
model.layers.22.mlp.down_proj,-0.0575064344235822,0.04442151582899633,25165824
model.layers.22.mlp.gate_proj,-0.06372429456746431,0.05191322796301337,25165824
model.layers.22.mlp.up_proj,-0.05797575860871499,0.04434517142990834,25165824
model.layers.22.self_attn.k_proj,-0.0952234582176364,0.08608198693769024,3145728
model.layers.22.self_attn.o_proj,-0.05397506460657395,0.042185707581517636,9437184
model.layers.22.self_attn.q_proj,-0.07302248765528122,0.06005211397803092,9437184
